index	term	definition
999	despoiler	掠夺者
1000	sponge	海绵
1001	spontaneous	自发的，自然产生的
1002	spontaneously	自然地, 本能地
1003	spontaneity	自然，自发
1004	spoon	匙，勺子
1005	spot	地点，场所
1006		发觉，发现
1007	spotless	没有污点的
1008	spotlight	强调，突出 n. 重点
1009	highlight	使显著，突出
1010		最显著（重要）部分
1011	sprawl	散乱地延伸
1012		四肢摊开着坐、卧或倒下
1013		扩展，蔓延
1014	spray	喷雾，飞沫
1015		向...喷射，喷
1016	spring	泉；弹簧
1017		跳跃
1018	spring up	出现，产生
1019	springtime	春天，春季
1020	springwater	天然泉水
1021	offspring	(单复数同形)子孙, 后代
1022	mainspring	(钟表的)主发条
1023	sprout	长出，萌芽
1024	spur	踢马刺
1025		刺激，鞭策
1026	squarely	直接地；正面地；恰好地
1027	squash	南瓜
1028		压碎，挤压；镇压
1029	squeeze	榨；挤进，塞进
1030	squirrel	松鼠
1031	squirt	喷出；喷射
1032	stable	稳定的，相对固定的
1033	stability	稳定性
1034	stabilize	使稳定，使坚固
1035	stack	堆积
1036		堆
1037	staff	全体人员或职员
1038	stagecoach	公共马车
1039	coach	教练
1040		四轮大马车
1041	stagger	蹒跚，摇晃
1042	staggering	巨大的，惊人的
1043	stagnant	停滞的, 迟钝的
1044	stain	污点，瑕疵
1045	stained	污染的，玷污的
1046	sustain	支撑；维持，持续
1047	staircase	楼梯
1048	stalk	隐伏跟踪（猎物）
1049		茎，柄，梗
1050	stamina	体力，耐力
1051	stand	站立；忍受，容忍
1052	stand in the way of	挡住...的道路
1053	withstand	抵挡，经受住
1054	standpoint	立场，观点
1055	newsstand	报摊，杂志摊
1056	standard	标准（的）
1057	standardize	使符合标准，使标准化
1058	standardized	标准化的
1059	standing	固定的，常设的
1060		身分，名望
1061	long-standing	长期存在的
1062	outstanding	杰出的，显著的
1063	stanza	（诗）节，段
1064	staple	主要产品，日常必需品
1065		主要的，常用的
1066		把...订起来
1067	starch	淀粉；淀粉食物
1068	stardom	明星的身份或地位
1069	starfish	海星
1070	stark	光秃秃的；荒凉的
1071	starve	挨饿
1072	starvation	饥饿，饿死
1073	stash	藏或贮存于一秘密处所
1074		隐藏处
1075	stately	庄严的，堂皇的
1076	stationary	固定的；静止的
1077	stationery	文具
1078	statistics	统计学
1079	statue	雕像
1080	stature	身高，身材；声望，地位
1081	status	状况；身份，地位
1082	steadfast	坚定的，坚信的
1083	steady	稳的，牢固的
1084		持续的
1085	steak	(供煎, 烤等的)肉, 牛排
1086	steep	险峻的，陡峭的
1087		浸，泡；沉浸
1088	steer	驾驶，掌舵
1089	stellar	星的，星球的
1090	interstellar	星际的
1091	stem	（植物的）茎
1092		来源于，基于 stem from
1093	sterile	贫瘠的；不育的
1094		消过毒的
1095	stern	苛刻的，严格的；严厉的
1096	stick	棍，棒；手杖
1097		粘住，粘贴
1098		stick to 坚持
1099	sticky	粘的，粘性的
1100	matchstick	火柴杆
1101	yardstick	<美> 码尺, 准绳
1102	stickpin	领带夹
1103	stiff	硬的，僵直的
1104		（态度、举止）拘谨的
1105	stiffen	使硬，使僵硬
1106	stifle	使窒息；扼杀，抑制
1107	stimulate	刺激，激励，激发
1108	stimulation	激励，鼓舞，刺激
1109	stimulus	刺激；刺激物
1110	stimuli	stimulus复数
1111	stimulant	刺激物，兴奋剂
1112	sting	刺；刺痛
1113	stipend	薪贴；奖学金；养老金
1114	stipulate	约定，规定
1115	stipulation	规定，条款
1116	stitch	缝
1117	stock car racing	专业汽车比赛
1118	stocky	(人或动物)矮而结实的，粗壮的
1119	stonemason	石工，石匠
1120	stout	结实的，勇敢坚定的
1121	strain	过度的疲劳，紧张
1122		血统；物种
1123		过滤
1124	constrain	抑制，拘束
1125	constraint	约束，强制
1126	strand	绳、线之一股
1127	strap	带，皮带
1128	strata	地层（复数）
1129	stratum	地层（单数）；阶层
1130	strengthen	加强，巩固
1131	strenuous	费力的；艰辛的
1132	strenuously	奋发地，费力地
1133	stretch	伸展，伸长
1134	stride	大步，一跨步
1135	strike	罢工，打击
1136	striking	醒目的，惊人的
1137	strikingly	醒目地, 引人侧目地
1138	string	（乐器的）弦；细绳，带子
1139	strings	弦乐器
1140	stringent	严厉的
1141		缺钱的，银根紧的，周转困难的
1142	strip	剥夺；剥掉
1143		条，带
1144	stripe	斑纹，条纹
1145	strive	努力，奋斗；力求
1146	stroke	（绘画等）一笔；一击
1147	stubborn	顽固的，固执的
1148	stubbornness	倔强，顽强
1149	studio	录音室；艺术家工作室
1150	stumble	绊倒
1151	stunning	令人惊叹的，极好的
1152	stun	使晕倒，打晕；使震惊
1153	stunt	惊人表演，绝技；特技
1154		阻碍...发育，妨碍...生长
1155	sturdy	(人)强健的，结实的；(物)稳固的
1156	stylized	风格化的，程式化的
1157	subduct	（使）俯冲；（使）潜没到另一板块之下
1158	subject to	服从
1159	subjected	服从的，隶属的
1160	submarine	潜水艇，潜艇
1161		水下的，海底的
1162	submerge	（使）沉没，淹没
1163	submerged	在水中的，淹没的
1164	submit	服从
1165		提交，递交
1166	subsequent	随后的，后来的
1167	subsequently	随后
1168	subside	平息，减退
1169	subsidiary	支流；子公司
1170	subsidize	补助，资助
1171	subsidy	补助金，津贴
1172	subsist	生存，存在，供养
1173	subsistence	生存；生计；存活
1174	substantial	相当的，可观的
1175		坚固的
1176	substantially	相当多地，大大地
1177	substantiate	证实，加强
1178	unsubstantiated	未被证实的
1179	substantive	真实的，有实质的
1180	substitute	代替
1181		代替者，代替品
1182	subterranean	地下的，地表下的
1183	subtle	微妙的，细微的
1184	subtract	减去 ~ from
1185	subtraction	减少
1186		减法
1187	subtractive	减法的；负的
1188	suburb	郊区
1189	suburbanization	近郊化，郊区建造
1190	suburbanite	郊区居民
1191	subversive	颠覆性的，破坏性的
1192	successive	连续的，相继的
1193	succinct	简明的，简洁的
1194	succumb	屈服，屈从
1195	sue	向...请求，请愿
1196		提出诉讼，控告
1197	pursue	追赶，追踪；从事
1198	tissue	薄的纱织品；薄纸，棉纸；[生]组织
1199	sufficient	足够的，充足的
1200	insufficient	不足的，不够的
1201	suit	适合，适应
1202	suited	适合的，匹配的
1203	suitable	适当的，相配的
1204	suite	一批，一套，组
1205	lawsuit	诉讼(尤指非刑事案件)
1206	suitcase	手提箱, 衣箱
1207	summit	山顶，顶点
1208	sumptuous	奢侈的，华丽的
1209	sunlight	日光，阳光
1210	sunlit	被日光照射了的, 阳光照射的
1211	sunflower	向日葵
1212	sunrise	日出
1213	sunset	日落
1214	sunburn	晒伤
1215	sundial	(通过太阳知道时间的) 日规, 日晷
1216	sunglasses	太阳镜；墨镜
1217	superb	极好的，超级的
1218	superficial	肤浅的，表面（上）的
1219	superficially	浅薄地
1220	superintendent	主管，负责人
1221	superior	级别或地位更高的；质量或价值更好的
1222	superior to	高于，优于
1223	supernatural	超自然的，神奇的
1224	supervise	监督，指导
1225	supervision	监督，管理
1226	supervisor	主管，管理人
1227	supplant	排挤；取代
1228	supple	柔软的，灵活的；柔顺的
1229	supplement	增补，补充
1230		增补，补充
1231	supplementary	补充的
1232	supplementation	增补，补充
1233	suppose	推想，假设
1234	supposedly	据说；据推测
1235	supposition	假定
1236	suppress	镇压，抑制
1237	supreme	(权力、级别或地位)至高的；最重要的
1238	supremely	无上地，崇高地
1239	supremacy	至高无上的权力
1240	surcharge	增付的费用，附加费
1241	surface	表面（的）
1242		浮现出来，暴露
1243	surge	汹涌，澎湃，喷发
1244	surging	汹涌
1245	surgeon	外科医生
1246	surgery	外科；手术室
1247	surmount	克服；登上；越过
1248	insurmountable	不能克服的, 不能超越的
1249	surpass	超越，胜过
1250	surpassingly	卓越地，超群地
1251	surplus	过剩，剩余（物资）
1252		过剩的
1253	survey	调查
1254	survive	(人)幸免于难,活下来；(物)耐久
1255	survival	生存，幸存
1256	survivor	生还者，残存物
1257	survivability	存活率，生命力
1258	susceptible	易受影响的；敏感的，过敏的
1259	susceptible to	易受...影响
1260	suspect	令人怀疑的，不可信的
1261		怀疑，猜想
1262	suspend	吊，悬挂
1263		延缓
1264	suspender	吊裤带
1265	suspense	悬念，情节
1266	suspicious	可疑的；好猜疑的
1267	suspicion	怀疑
1268	sustain	维持；支撑
1269	sustained	持续不变的
1270	sustenance	食物，生计
1271	swallow	吞下，咽下
1272		燕子
1273	swamp	沼泽，湿地
1274	swampy	沼泽的，湿地的
1275	swarm	蜂群，一大群
1276		挤满，密集
1277	sway	摇摆，摇动
1278		使转变，说服
1279	sweep	席卷，扫过
1280		清扫，打扫
1281		伸展，延伸
1282	sweeping	彻底的，广泛的
1283	swell	（使）肿胀、膨胀
1284	swelling	肿胀
1285	swift	迅速的，敏捷的
1286	swiftness	迅速，敏捷
1287	syllable	（语音）音节
1288	symbiosis	共生（关系），共栖
1289	symbiotic	共栖的，共生的
1290	symbol	符号，记号；象征
1291	symbolism	象征主义；符号论
1292	symbology	象征学
1293	symbolize	象征
1294	symmetrical	对称的
1295	symmetry	对称（性），匀称
1296	asymmetrical	不均匀的, 不对称的
1297	sympathy	同情，同情心
1298	sympathize	同情，体谅
1299	sympathetic	有同情心的
1300		赞成的，合意的
1301	symphony	交响乐，交响曲
1302	symptom	症状；征兆
1303	synchronize	同步，同时发生
1304	synonym	同义字
1305	synonymous	同义的
1306	synthesize	综合；合成
1307	synthesizer	[电子]合成器
1308	synthesis	综合, 合成
1309	photosynthesis	光合作用
1310	synthetic	合成的，人造的
1311		合成物质
1312	syrup	糖浆，果汁
1313	system	系统，体系
1314	systematic	系统的，体系的
1315	systematize	使系统化；将...分类
1316	ecosystem	生态系统
1317	tableland	高原
1318	tactics	战术；策略
1319	tactile	触觉的；可触觉的
1320	tag	给...加标签；添加，附加
1321		标签，货签
1322	taint	污点，瑕疵
1323		污染；玷污
1324	take into account	考虑到
1325	talent	才能；天才
1326	talented	有天才的，有才能的
1327	tally	符合，吻合
1328		记录；记账
1329	tame	驯养，驯服
1330		（动物）驯服的，柔顺的
1331	untamed	未驯服的
1332	tap	开发，利用
1333	untapped	未使用的
1334	tapering	尖端细的
1335	tapeworm	[动]绦虫
1336	tapestry	织锦, 挂毯
1337	tardy	迟到的；缓慢的
1338	tardiness	迟到；缓慢
1339	tariff	关税
1340	customs	进口税；海关
1341	tarnish	晦暗，污点
1342		使失去光泽；玷污
1343	taste	品尝，辨味
1344		味道，味觉
1345		品味，兴趣
1346	tasty	美味的，可口的
1347	tasteless	没味道的
1348	distasteful	（令人）不愉快的，讨厌的
1349	tavern	小酒店；客栈
1350	tectonics	[地]构造地质学
1351	tedium	单调乏味
1352	tedious	单调乏味的，沉闷的
1353	teem with	充满
1354	telegraph	电报机；电报
1355	temper	脾气，性情
1356		缓和，调节
1357	temperate	（气候等）温和的
1358		(欲望、饮食等)适度的,有节制的
1359	temperance	节制，自制；戒酒；禁酒
1360	temperature	温度
1361	temple	寺庙；（宗教）殿堂
1362	temporary	短暂的，暂时的
1363	temporarily	临时
1364	contemporary	当代的，同时代的
1365	tempt	诱使
1366	tempting	诱惑人的
1367	tenant	承租人，房客
1368	tendency	趋势，倾向
1369	tender	嫩的，柔软的
1370	tenderness	亲切，温柔
1371	contender	竞争者，斗争者
1372	tenement	出租给房客的住房；(穷人)公寓
1373	tense	紧张的，拉紧的
1374	tension	紧张（状态），压力
1375	intense	强烈的，剧烈的
1376	utensil	器具
1377	tensile	可拉长的, 可伸长的
1378	pretense	矫饰，做作
1379	pretension	主张，要求
1380	tentacle	触角，触须，触手
1381	terminal	总站，终点站
1382		（电脑）终端，接线端
1383	terminate	停止，结束
1384	termination	终止，结束
1385	exterminate	根除，灭绝
1386	terminology	用辞，术语
1387	terminus	（火车、汽车）终点站
1388	termite	白蚁
1389	terrace	梯田，台地；阳台
1390		使成梯田
1391	terrain	地势，地形
1392	terrestrial	地球（上）的；陆地的
1393	terrify	使恐怖，使惊吓
1394	terrifying	恐怖的
1395	terribly	可怕地，十分
1396	terrific	极好的
1397	testify to	证实
1398	textile	纺织品
1399	texture	质地；（材料等）结构
1400	textured	手摸时有感觉的, 有织纹的
1401	thaw	解冻
1402		解冻，融化
1403	theft	偷窃
1404	theme	(谈话, 写作等的)题目, 主题
1405	theoretical	理论上的
1406	thereby	因此，从而
1407	therefore	因此，所以
1408	thermal	热的, 热量的
1409	thesis	论题，论文
1410	hypothesis	假设
1411	thigh	大腿
1412	thorny	有刺的；多刺的
1413	thorn	[植]刺, 棘
1414	thorough	完全的，彻底的
1415	thoughtful	体贴的，考虑周到的
1416		有思想性的
1417	thread	线
1418	threadlike	线状的
1419	threaten	威胁；预示...的凶兆，可能来临
1420	threateningly	胁迫地
1421	three-dimensional	三维的, 立体的
1422	threshold	开始，开端
1423	thrifty	节省的，节俭的
1424	thrive	繁荣，兴旺；茁壮成长
1425	thrive on	在...中旺盛生长
1426	thrust	推力，冲
1427		插入，用力刺
1428	thunderstorm	暴风雨
1429	tide	潮汐；潮流
1430	tilt	倾斜
1431	stilt	高跷，支柱
1432	timber	木材，木料
1433	time-consuming	费时间的
1434	timid	胆怯的，羞怯的
1435	timidity	胆怯
1436	tint	给...着色；染
1437		色彩
1438	tip	顶，尖端
1439		小费
1440	fingertip	指尖
1441	tissue	[生]组织
1442		绵纸，薄纸
1443	to and fro	来来回回i
1444	toe	趾，脚趾，足尖
1445	toed	有趾的
1446	tolerate	忍受；容许
1447	tolerant	容忍的；宽容的
1448	tolerance	忍受，宽容
1449	topography	地形；地形学
1450	topographical	地形学的
1451	topsoil	表层土
1452	tornado	旋风，龙卷风
1453	hurricane	飓风
1454	cyclone	旋风，龙卷风
1455	torpor	迟钝，不活泼
1456	torque	扭矩
1457	torrent	连发，迸发
1458		骤雨；急流，洪流
1459	torrential	（雨）倾盆的、如注的；（水流）猛烈的、汹涌的
1460	torrential rain	豪雨，大雨
1461	tortuous	曲折的, 转弯抹角的
1462	touching	动人的，令人感伤的
1463	touched	被感动的
1464	touchdown	着地，降落
1465	tough	坚硬的；坚强的
1466		艰苦的
1467		坚韧的；严格的,严格执行纪律的
1468	tournament	比赛，锦标赛
1469	tow	拖引，牵引
1470		拖，拽
1471	tower	塔，城堡
1472	towering	高耸的；杰出的
1473	toxic	有毒的，中毒的
1474	intoxication	陶醉
1475	trace	痕迹
1476		跟踪；追溯
1477	track	轨道，路经 v. 追踪
1478	trail	踪迹，小路 v. 追踪
1479	tract	广阔的地面，大片（土地）
1480		管道
1481	traction	牵引
1482	tractor	拖拉机
1483	tragedy	悲剧；悲惨事件
1484	trait	特征，特性
1485	portrait	肖像，人像
1486	portraiture	肖像画法
1487	portraitist	肖像画家
1488	trample	踩踏；蹂躏
1489	tranquil	宁静的，安静的
1490	tranquility	宁静，安静
1491	transaction	交易
1492	transcend	超出，超越
1493	transcript	抄本
1494	transfer	转移；转学
1495	transform	（使）变形，改观
1496	transformation	转变；变形
1497	transition	转变，过渡
1498	translucent	半透明的；透明的
1499	transmit	传送，传播
1500	transmitter	传送者，发送器
1501	neurotransmitter	[生化]神经传递素
1502	transmute	使变化，使改变
1503	transparent	透明的
1504	transplant	移植
1505	trap	捕捉，困住；陷害
1506		圈套，陷阱
1507	trapper	设阱捕兽者
1508	strap	用带缚住, 用带捆扎
1509	trash	垃圾，废物
1510	treacherous	不可靠的，有暗藏的危险的
1511		背叛的，背信弃义的
1512	tread	踏，践踏；行走
1513	treadmill	踏车
1514	treason	叛逆，叛国
1515	treasure trove	无主埋藏物，无主珍宝
1516	trove	被发现的东西，收藏的东西
1517	treatment	待遇，对待
1518		处理，治疗
1519	tremendous	巨大的，惊人的
1520	trench	沟，壕沟
1521	entrenched	（权利、传统）确立的，牢固的
1522	trend	倾向，趋势
1523	trespass	侵犯，闯入私人领地
1524	trespasser	侵犯（他人土地）者
1525	trial	实验
1526		审讯
1527	tribal	部落的，宗族的
1528	tribe	部落，部族
1529	tributary	辅助的，支流的
1530		支流
1531	tribute	贡品，礼物
1532		颂词，殷勤
1533	trickle	滴；细流
1534	trigger	引发，引起，触发
1535	trilogy	三部剧，三部曲
1536	trim	修剪，整饰
1537	triumph	胜利
1538		获得胜利，成功
1539	trivial	微不足道的，琐碎的
1540	tropical	热带的
1541	troublesome	讨厌的，麻烦的
1542	troubling	令人不安的，令人忧虑的
1543	troupe	剧团
1544	trumpet	喇叭
1545	trumpeter	喇叭手，号兵
1546	trustworthy	可信赖的
1547	tub	桶，浴盆
1548	tube	管子；电子管，显像管
1549	tuition	学费
1550	tumble	翻滚 n. 平脚杯
1551	tundra	苔原，冻土地带
1552	tunnel	隧道
1553	turbulent	吵闹的；狂暴的
1554	turbulence	喧嚣，骚乱
1555	turnpike	公路，收费高速公路
1556	turquoise	绿松石
1557	tutor	辅导；当...的家庭教师
1558		家庭教师
1559	tutorial	个别指导
1560	twig	细枝，嫩枝
1561	twine	搓，织，编饰；(使)缠绕
1562	twist	扭曲，拧
1563	tycoon	大企业家，大亨
1564	typify	代表，为...之典型
1565	typical	典型的；有代表性的
1566	prototypical	原型的
1567	tyrannical	暴虐的，残暴的
1568	ultimate	最终的，最后的
1569	ultimatum	最后通牒
1570	ultrasonic	超声的（超声波的）
1571	ultrasonics	超音波学
1572	ultraviolet	紫外线的
1573	unadorned	未装饰的,朴实的
1574	unanimity	全体一致，一致同意
1575	unanimous	全体意见一致的
1576	unbiased	没有偏见的
1577	unbridgeable	不能架桥的, 不能逾越的
1578	unbridled	放纵的，无约束的
1579	unbroken	完整的；持续的
1580	uncharted	地图上没标明的
1581	unconscious	不省人事的；无意识的
1582	unconventional	非传统的，与先前不同的
1583	uncover	发现，揭示
1584	underdeveloped	不发达的
1585	underestimate	低估
1586	undergo	经历，遭受
1587	undergraduate	(尚未取得学位的)大学生
1588	graduate	(大学)毕业生, 研究生
1589	postgraduate	研究生
1590	underground	地下的，地面下的
1591	underlying	基础的；在下面的
1592	underlie	位于...之下, 成为...的基础
1593	undermine	渐渐破坏，暗地里破坏
1594	underscore	划线于...下，强调
1595	undertake	从事，承担
1596	undertaking	任务；事业
1597	underwater	在水下的，在水中的
1598	undo	解开，松开
1599		逆转或清除；取消
1600	undoubtedly	毋庸置疑地，确凿地
1601	unearth	发觉，挖出；揭露
1602	unemployed	失业的
1603	unevenly	不平坦地；不均衡地
1604	unexplored	未开发的，未探索的
1605	unfair	不公平的
1606	unfertilized	未施肥的，未受精的
1607	unfortunately	不幸地
1608	uniform	制服
1609		统一的；始终如一的
1610	uniformity	同样，一式
1611	unify	统一，使成一体
1612	unimaginable	不可想象的
1613	uninhabited	无人居住的
1614	unique	独一无二的；独特的
1615	uniqueness	独特，独一无二
1616	unity	结合，一致
1617	community	团体，社会；(生物)群落
1618	opportunity	机会，时机
1619	immunity	免疫性
1620	universal	普遍的；全世界的；通用的
1621		普遍的；共同的
1622	universe	宇宙
1623	unmatched	无可匹敌的
1624	unpack	打开包裹（或行李）
1625	unpalatable	味道差的, 不好吃的
1626	unprecedented	前所未有的，空前的
1627	unpredictable	不可预知的
1628	unpromising	无前途的, 没有希望的
1629	unravel	弄清楚（秘密）
1630		拆开；解开；松开
1631	unrestricted	无限制的, 自由的
1632	unscrupulous	肆无忌惮的, 无道德原则的
1633	unselfish	不自私的, 慷慨的
1634	unsophisticated	不谙世故的；单纯的
1635	unstable	不稳定的
1636	unsubstantiated	未经证实的
1637	untouched	未触及的
1638	unwieldy	笨拙的；(因太大、太重、形状奇特等)不易被移动的，笨重的
1639	upgrade	使升级，提升
1640	upheaval	剧变
1641	uphold	维护，支持
1642	upland	丘陵地带，高地
1643	uproot	连根拔起，拔除
1644		根除,灭绝；赶出家园,被迫移开
1645	upset	心烦意乱的
1646		颠覆，推翻；扰乱
1647	upside-down	颠倒的
1648	urban	城市的
1649	urbane	温文尔雅的
1650	urbanism	都市生活, 都市化
1651	urbanite	都市人
1652	urbanize	使都市化，使文雅
1653	urbanization	都市化，文雅化
1654	urge	催促；力劝，恳求
1655		冲动
1656	urgent	紧急的，迫切的
1657	urgency	紧急情况
1658	usher in	引发，产生
1659	utilitarian	功利的；实利的
1660	utility	公用事业公司；公用事业设备
1661		运用，效用
1662	utilize	利用
1663	utilization	利用
1664	utopian	乌托邦式的，空想的
1665	utter	做声；发表
1666		全然的，完全的
1667	utterance	说话，说话的方式
1668	utterly	完全地，绝对地
1669	shutter	百叶窗；快门
1670	butter	黄油，牛油
1671	butterfly	[动]蝴蝶
1672	vacant	空的，未被占用的
1673	vacancy	空白，空缺
1674	vacation	度假，休假
1675	vacate	腾出，空出
1676	vaccine	疫苗
1677	vaccinate	进行预防接种
1678	vacuum	真空
1679	vague	模糊的；含糊的
1680	valid	有效的；有根据的，正确的
1681	validity	有效性，合法性
1682	validate	使生效，确认，证实
1683	valve	活门，阀
1684	vanish	消失；灭绝
1685	vapor	水汽，水蒸气
1686	vaporize	（使）蒸发
1687	vaporization	蒸发
1688	evaporate	（使）蒸发，消失
1689	evaporation	蒸发（作用）
1690	variable	[数]变数, 变量
1691		可变的, 易变的
1692	variation	变异；变种
1693	variability	可变性
1694	variety	变化，多样性
1695	variance	分歧；差异
1696	varied	杂色的，各式各样的
1697	various	各种的
1698	varnish	涂上清漆，修饰
1699		清漆
1700	vast	巨大的，大量的；范围广的
1701	vastness	巨大
1702	vault	拱顶；地下室
1703	vaulted	拱状的
1704	vegetation	植物，草木，植被
1705	vegetable	蔬菜
1706	vegetarian	素食者
1707	vehicle	交通工具, 车辆
1708		媒介物, 传达手段
1709	veil	隐藏，遮蔽 n. 面纱
1710	vein	静脉
1711	veining	脉络分布；矿脉
1712	velocity	速度；速率
1713	venerable	值得尊敬的，庄严的
1714	veneration	尊敬, 崇拜
1715	venom	(蛇的)毒液
1716		恶意, 怨恨
1717	venomous	有毒的
1718	vent	通风孔；出烟孔
1719	ventilate	使通风
1720	ventilation	通风
1721	venture	冒险（事业），投机活动
1722	adventure	冒险，冒险的经历
1723	venturesome	好冒险的；（行为）冒险的
1724	venue	地点；会场
1725	avenue	林荫道, 大街
1726	verbal	口头的
1727	nonverbal	不用语言的
1728	verify	证明，证实
1729	versatile	多才多艺的
1730		通用的；可塑的，可变形的
1731	verse	诗，韵文
1732	universe	宇宙，世界
1733	converse	谈话，交谈
1734	diverse	不同的，变化多的
1735	adverse	不利的；敌对的；相反地
1736	reverse	相反的,倒转的 vt. 颠倒,倒转
1737	version	译本，译文
1738		一种描述
1739	conversion	变换，转化
1740	vertebrate	脊椎动物（的）
1741	invertebrate	无脊椎动物
1742	vertical	垂直的，竖直的
1743	vessel	船
1744		脉管
1745		容器
1746	vestige	痕迹，遗迹，残余
1747	veteran	老兵；老手
1748	veto	否决；否决权
1749		否决；禁止
1750	viable	可行的，切实可行的
1751		能活下去的
1752	viability	生存能力，发育能力
1753	vibrant	活泼的；生气勃勃的
1754	vibrate	颤动，震动
1755	vibration	振动，颤动
1756	vicinity	附近，接近
1757	victor	胜利者；获胜者
1758	victory	胜利，战胜
1759	victorious	获胜的，胜利的
1760	vie	竞争
1761	vigilance	警戒，警惕
1762	vigor	精力，活力
1763	vigorous	健壮的，精力旺盛的；有力的
1764	vine	葡萄藤，蔓
1765	violence	暴力，强暴
1766	nonviolence	非暴力
1767	violent	暴力引起的，暴烈的
1768		激烈的，强烈的
1769	viral	病毒的
1770	virus	[微]病毒
1771	virtue	美德
1772	virtually	事实上，实质上
1773	virtuosity	精湛技艺
1774	viscosity	粘度，粘性
1775	viscous	粘滞的，粘性的
1776	vision	视觉
1777	visibility	可见度
1778	revision	修订，修改
1779	provision	供应；（一批）供应品；规定
1780	envision	想象，预想
1781	division	分开，分割
1782	subdivision	细分，一部
1783	vista	景色
1784	vital	极重要的，致命的
1785	vitalism	活机论, 生机说
1786	vitalist	活力论者
1787	vitality	活力，生命力
1788	revitalization	新生,复兴
1789	vivid	(光线、色彩)鲜艳的，强烈的
1790		生动的，逼真的
1791	vocation	职业
1792	vocational	职业的
1793	avocation	(个人)副业，业余爱好
1794	void	空白，空虚
1795		无效的
1796	devoid	全无的，缺乏的
1797	volatile	挥发性的
1798		可变的，不稳定的
1799	volcanic	火山的
1800	volcano	火山
1801	voltage	电压
1802	volume	体积，容积；量
1803	voluntary	自愿的；志愿的
1804	involuntary	自然而然的，无意的
1805	volunteer	自愿者
1806		自愿
1807	voracious	狼吞虎咽的，贪婪的
1808	vote	投票
1809		投票，选票
1810	voter	投票者，选举人
1811	devote	投入于，献身
1812	vowel	元音
1813	voyage	旅行，航程
1814	vulnerable	易受攻击的；易受伤害的
1815	wade	涉水，费力行走
1816	wagon	四轮马车
1817	waist	腰，腰部
1818	wrist	手腕，腕关节
1819	wristwatch	手表
1820	waive	放弃；免除
1821	walkout	罢工
1822	walnut	胡桃，核桃树
1823	wane	减少，衰落
1824	ward off	防止，挡住
1825	ware	陶器，器皿
1826	earthenware	土器，陶器
1827	tableware	餐具
1828	hardware	五金器具，硬件
1829	glassware	玻璃器具
1830	warehouse	仓库，货栈
1831	warranty	担保，保证；保修
1832	warrantable	可证明为正确的，可证实的
1833	warrior	战士，勇士
1834	wary	小心翼翼的，机警小心的
1835	waste disposal	废物处理
1836	watercourse	水道，河道
1837	wavy	波状的，起浪的；波动的
1838	wax	蜂蜡；蜡状物
1839		上蜡于
1840	waxy	苍白的；光滑的
1841	weapon	武器
1842	wear away	磨去
1843	wear out	用坏，磨损
1844	weary	疲倦的；厌倦的
1845	weariness	疲倦
1846	weather	风化
1847	weathering	侵蚀，风化
1848	weave	迂回行进
1849		编织，组合
1850	weaverbird	[鸟]织巢鸟之一种
1851	weaver	织布者，织工
1852	wed	娶，嫁，结婚
1853	wedding	婚礼
1854	wedge-shaped	楔形的
1855	weed	杂草
1856	locoweed	[植] 疯草(牲畜食后引起疯草病)
1857	weep	哭泣
1858	weird	怪诞的，奇异的
1859	weld	焊接
1860	welfare	福利
1861	well-being	安宁，福利
1862	well organized	有组织的
1863	whim	随意，冲动
1864	whisk off	突然带走
1865	whittle	削；削减
1866	wholesale	批发的
1867		大规模的
1868	wholesaler	批发商
1869	wholesome	有益健康的
1870	wildlife	野生动植物
1871	willow	柳树
1872	wind up	结束，终止
1873	wipe out	毁灭，破坏
1874	wit	智力，才智
1875	withdraw	撤退
1876		收回，撤销
1877	withdrawal	收回；撤退，退回
1878	wither	（使）枯萎，凋谢
1879	withstand	承受，抵住
1880	witness	目击；为...作证
1881		证人
1882	eyewitness	目击者, 见证人
1883	woods	森林
1884	cottonwood	[植]三叶杨,棉白杨
1885	softwood	软木材
1886	wool	羊毛
1887	woolen	羊毛制的；毛织品的
1888	woolly	多毛的
1889	worldwide	全世界的
1890	wrap	裹，包，捆
1891	wreck	失事；失事的残骸
1892		失事
1893	shipwreck	船只失事, 海难
1894	wrestling	摔跤，格斗
1895	wring	绞，拧，扭
1896	wrinkle	皱纹，褶皱
1897	yarn	纱，纱线
1898	yawn	呵欠
1899	yelp	（痛苦等的）尖叫；吠叫
1900	yield	生产；产生
1901		屈服；放弃；投降
1902		产量；收益
1903	yield to	屈服于...
1904	yolk	蛋黄
1905	zeal	热心，热情，热忱
1906	zealous	热心的；狂热的
1907	zenith	顶点，顶峰
1908	zigzag	曲折的
1909		锯齿状的，Z字形的
1910	zone	区域；地带
1911	ozone	[化]臭氧
